areaType,areaName,areaCode,date,hospitalCases
overview,United Kingdom,K02000001,2020-11-24,17424
overview,United Kingdom,K02000001,2020-11-23,17681
overview,United Kingdom,K02000001,2020-11-22,17264
overview,United Kingdom,K02000001,2020-11-21,17063
overview,United Kingdom,K02000001,2020-11-20,17184
overview,United Kingdom,K02000001,2020-11-19,17459
overview,United Kingdom,K02000001,2020-11-18,17486
overview,United Kingdom,K02000001,2020-11-17,17439
overview,United Kingdom,K02000001,2020-11-16,17313
overview,United Kingdom,K02000001,2020-11-15,16864
overview,United Kingdom,K02000001,2020-11-14,16299
overview,United Kingdom,K02000001,2020-11-13,16236
overview,United Kingdom,K02000001,2020-11-12,15879
overview,United Kingdom,K02000001,2020-11-11,15666
overview,United Kingdom,K02000001,2020-11-10,14964
overview,United Kingdom,K02000001,2020-11-09,15141
overview,United Kingdom,K02000001,2020-11-08,14546
overview,United Kingdom,K02000001,2020-11-07,14314
overview,United Kingdom,K02000001,2020-11-06,13958
overview,United Kingdom,K02000001,2020-11-05,13796
overview,United Kingdom,K02000001,2020-11-04,13817
overview,United Kingdom,K02000001,2020-11-03,13749
overview,United Kingdom,K02000001,2020-11-02,13105
overview,United Kingdom,K02000001,2020-11-01,12230
overview,United Kingdom,K02000001,2020-10-31,12310
overview,United Kingdom,K02000001,2020-10-30,11788
overview,United Kingdom,K02000001,2020-10-29,11583
overview,United Kingdom,K02000001,2020-10-28,11434
overview,United Kingdom,K02000001,2020-10-27,10938
overview,United Kingdom,K02000001,2020-10-26,10108
overview,United Kingdom,K02000001,2020-10-25,9786
overview,United Kingdom,K02000001,2020-10-24,9262
overview,United Kingdom,K02000001,2020-10-23,8886
overview,United Kingdom,K02000001,2020-10-22,8311
overview,United Kingdom,K02000001,2020-10-21,8132
overview,United Kingdom,K02000001,2020-10-20,7852
overview,United Kingdom,K02000001,2020-10-19,7334
overview,United Kingdom,K02000001,2020-10-18,6829
overview,United Kingdom,K02000001,2020-10-17,6545
overview,United Kingdom,K02000001,2020-10-16,6296
overview,United Kingdom,K02000001,2020-10-15,5933
overview,United Kingdom,K02000001,2020-10-14,5598
overview,United Kingdom,K02000001,2020-10-13,5293
overview,United Kingdom,K02000001,2020-10-12,4959
overview,United Kingdom,K02000001,2020-10-11,4670
overview,United Kingdom,K02000001,2020-10-10,4358
overview,United Kingdom,K02000001,2020-10-09,4170
overview,United Kingdom,K02000001,2020-10-08,4085
overview,United Kingdom,K02000001,2020-10-07,3893
overview,United Kingdom,K02000001,2020-10-06,3642
overview,United Kingdom,K02000001,2020-10-05,3370
overview,United Kingdom,K02000001,2020-10-04,3056
overview,United Kingdom,K02000001,2020-10-03,2867
overview,United Kingdom,K02000001,2020-10-02,2723
overview,United Kingdom,K02000001,2020-10-01,2592
overview,United Kingdom,K02000001,2020-09-30,2530
overview,United Kingdom,K02000001,2020-09-29,2420
overview,United Kingdom,K02000001,2020-09-28,2399
overview,United Kingdom,K02000001,2020-09-27,2188
overview,United Kingdom,K02000001,2020-09-26,2033
overview,United Kingdom,K02000001,2020-09-25,2020
overview,United Kingdom,K02000001,2020-09-24,1846
overview,United Kingdom,K02000001,2020-09-23,1730
overview,United Kingdom,K02000001,2020-09-22,1636
overview,United Kingdom,K02000001,2020-09-21,1558
overview,United Kingdom,K02000001,2020-09-20,1398
overview,United Kingdom,K02000001,2020-09-19,1300
overview,United Kingdom,K02000001,2020-09-18,1221
overview,United Kingdom,K02000001,2020-09-17,1162
overview,United Kingdom,K02000001,2020-09-16,1106
overview,United Kingdom,K02000001,2020-09-15,1066
overview,United Kingdom,K02000001,2020-09-14,982
overview,United Kingdom,K02000001,2020-09-13,843
overview,United Kingdom,K02000001,2020-09-12,812
overview,United Kingdom,K02000001,2020-09-11,770
overview,United Kingdom,K02000001,2020-09-10,944
overview,United Kingdom,K02000001,2020-09-09,924
overview,United Kingdom,K02000001,2020-09-08,894
overview,United Kingdom,K02000001,2020-09-07,902
overview,United Kingdom,K02000001,2020-09-06,817
overview,United Kingdom,K02000001,2020-09-05,812
overview,United Kingdom,K02000001,2020-09-04,818
overview,United Kingdom,K02000001,2020-09-03,817
overview,United Kingdom,K02000001,2020-09-02,803
overview,United Kingdom,K02000001,2020-09-01,861
overview,United Kingdom,K02000001,2020-08-31,854
overview,United Kingdom,K02000001,2020-08-30,831
overview,United Kingdom,K02000001,2020-08-29,833
overview,United Kingdom,K02000001,2020-08-28,818
overview,United Kingdom,K02000001,2020-08-27,840
overview,United Kingdom,K02000001,2020-08-26,829
overview,United Kingdom,K02000001,2020-08-25,844
overview,United Kingdom,K02000001,2020-08-24,876
overview,United Kingdom,K02000001,2020-08-23,870
overview,United Kingdom,K02000001,2020-08-22,943
overview,United Kingdom,K02000001,2020-08-21,888
overview,United Kingdom,K02000001,2020-08-20,909
overview,United Kingdom,K02000001,2020-08-19,924
overview,United Kingdom,K02000001,2020-08-18,953
overview,United Kingdom,K02000001,2020-08-17,982
overview,United Kingdom,K02000001,2020-08-16,979
overview,United Kingdom,K02000001,2020-08-15,974
overview,United Kingdom,K02000001,2020-08-14,995
overview,United Kingdom,K02000001,2020-08-13,1008
overview,United Kingdom,K02000001,2020-08-12,1004
overview,United Kingdom,K02000001,2020-08-11,1039
overview,United Kingdom,K02000001,2020-08-10,1087
overview,United Kingdom,K02000001,2020-08-09,983
overview,United Kingdom,K02000001,2020-08-08,1027
